88
be,was/were,been
bear,bore,born
beat,beat,beaten
begin,began,begun
bite,bit,bitten
blow,blew,blown
broadcast,broadcast,broadcast
break,broke,broken
bring,brought,brought
build,built,built
burn,burnt,burnt
buy,bought,bought
catch,caught,caught
choose,chose,chosen
come,came,come
cost,cost,cost
cut,cut,cut
do,did,done
draw,drew,drawn
dream,dreamt,dreamt
drink,drank,drunk
drive,drove,driven
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fly,flew,flown
forget,forgot,forgotten
freeze,froze,frozen
get,got,got
give,gave,given
go,went,gone
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
know,knew,known
lead,led,led
learn,learnt,learnt
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
pay,paid,paid
put,put,put
read,read,read
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
say,said,said
see,saw,seen
sell,sold,sold
send,sent,sent
set,set,set
shoot,shot,shot
show,showed,shown
shut,shut,shut
sing,sang,sung
sit,sat,sat
sleep,slept,slept
smell,smelt,smelt
speak,spoke,spoken
spend,spent,spent
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
swim,swam,swum
take,took,taken
teach,taught,taught
tell,told,told
think,thought,thought
throw,threw,thrown
wake,woke,woken
wear,wore,worn
win,won,won
write,wrote,written
